CRASH DATE,NUMBER OF PERSONS INJURED
01/04/2025,0
01/04/2025,2
01/04/2025,1
01/04/2025,0
01/04/2025,0
01/04/2025,1
01/04/2025,1
01/04/2025,0
01/04/2025,1
01/04/2025,0
01/04/2025,1
01/04/2025,0
01/04/2025,1
01/04/2025,1
01/04/2025,0
01/04/2025,1
01/04/2025,0
01/04/2025,1
01/04/2025,1
01/04/2025,1
01/04/2025,1
01/04/2025,0
01/04/2025,1
01/04/2025,0
01/05/2025,0
01/05/2025,0
01/05/2025,0
01/05/2025,0
01/05/2025,1
01/05/2025,0
01/05/2025,2
01/05/2025,0
01/05/2025,0
01/05/2025,0
01/05/2025,0
01/05/2025,0
01/05/2025,0
01/05/2025,0
01/05/2025,0
01/05/2025,0
01/05/2025,1
01/05/2025,0
01/05/2025,0
01/05/2025,0
01/05/2025,0
01/05/2025,0
01/05/2025,0
01/05/2025,1
01/05/2025,1
01/05/2025,1
01/05/2025,1
01/05/2025,2
01/05/2025,0
01/05/2025,0
01/05/2025,0
01/05/2025,0
01/05/2025,0
01/05/2025,0
01/05/2025,2
01/05/2025,0
01/05/2025,0
01/05/2025,0
01/05/2025,0
01/05/2025,2
01/05/2025,1
01/05/2025,1
01/05/2025,0
01/05/2025,0
01/05/2025,0
01/05/2025,1
01/05/2025,0
01/05/2025,0
01/05/2025,0
01/05/2025,1
01/05/2025,1
01/05/2025,1
01/05/2025,0
01/05/2025,1
01/05/2025,0
01/05/2025,0
01/05/2025,0
01/05/2025,0
01/05/2025,1
01/05/2025,0
01/05/2025,0
01/05/2025,1
01/05/2025,2
01/05/2025,0
01/05/2025,0
01/05/2025,0
01/05/2025,0
01/05/2025,0
01/05/2025,0
01/05/2025,0
01/05/2025,0
01/05/2025,0
01/05/2025,0
01/05/2025,0
01/05/2025,1
01/05/2025,0
01/05/2025,1
01/05/2025,0
01/05/2025,1
01/05/2025,2
01/05/2025,0
01/05/2025,0
01/05/2025,0
01/05/2025,0
01/05/2025,0
01/05/2025,1
01/05/2025,1
01/05/2025,1
01/05/2025,0
01/05/2025,0
01/05/2025,1
01/05/2025,1
01/05/2025,0
01/05/2025,1
01/05/2025,0
01/05/2025,0
01/05/2025,0
01/05/2025,0
01/05/2025,0
01/05/2025,0
01/05/2025,2
01/05/2025,0
01/05/2025,2
01/05/2025,1
01/05/2025,0
01/05/2025,1
01/05/2025,3
01/05/2025,0
01/05/2025,1
01/05/2025,1
01/05/2025,1
01/05/2025,0
01/05/2025,3
01/05/2025,1
01/05/2025,0
01/05/2025,1
01/05/2025,0
01/05/2025,0
01/05/2025,2
01/05/2025,0
01/05/2025,2
01/05/2025,0
01/05/2025,1
01/05/2025,0
01/05/2025,0
01/05/2025,1
01/05/2025,0
01/05/2025,1
01/05/2025,0
01/05/2025,0
01/05/2025,0
01/05/2025,0
01/05/2025,2
01/05/2025,1
01/05/2025,0
01/05/2025,1
01/05/2025,0
01/05/2025,1
01/05/2025,0
01/05/2025,0
01/05/2025,1
01/05/2025,0
01/05/2025,0
01/05/2025,1
01/05/2025,0
01/05/2025,1
01/05/2025,0
01/05/2025,0
01/05/2025,0
01/05/2025,0
01/05/2025,1
01/05/2025,0
01/05/2025,2
01/05/2025,1
01/05/2025,1
01/05/2025,0
01/05/2025,1
01/05/2025,1
01/05/2025,1
01/05/2025,0
01/05/2025,0
01/05/2025,0
01/05/2025,0
01/05/2025,0
01/05/2025,0
01/05/2025,0
01/05/2025,0
01/05/2025,1
01/05/2025,0
01/05/2025,1
01/05/2025,0
01/05/2025,0
01/05/2025,1
01/06/2025,0
01/06/2025,0
01/06/2025,0
01/06/2025,1
01/06/2025,0
01/06/2025,2
01/06/2025,1
01/06/2025,0
01/06/2025,0
01/06/2025,1
01/06/2025,0
01/06/2025,0
01/06/2025,0
01/06/2025,0
01/06/2025,2
01/06/2025,1
01/06/2025,0
01/06/2025,0
01/06/2025,0
01/06/2025,0
01/06/2025,1
01/06/2025,1
01/06/2025,0
01/06/2025,0
01/06/2025,2
01/06/2025,0
01/06/2025,0
01/06/2025,0
01/06/2025,0
01/06/2025,0
01/06/2025,0
01/06/2025,0
01/06/2025,1
01/06/2025,0
01/06/2025,0
01/06/2025,0
01/06/2025,0
01/06/2025,0
01/06/2025,0
01/06/2025,1
01/06/2025,0
01/06/2025,1
01/06/2025,0
01/06/2025,0
01/06/2025,2
01/06/2025,0
01/06/2025,0
01/06/2025,0
01/06/2025,2
01/06/2025,2
01/06/2025,0
01/06/2025,3
01/06/2025,0
01/06/2025,0
01/06/2025,0
01/06/2025,0
01/06/2025,1
01/06/2025,0
01/06/2025,1
01/06/2025,0
01/06/2025,0
01/06/2025,2
01/06/2025,0
01/06/2025,0
01/06/2025,0
01/06/2025,1
01/06/2025,0
01/06/2025,0
01/06/2025,0
01/06/2025,0
01/06/2025,0
01/06/2025,0
01/06/2025,2
01/06/2025,0
01/06/2025,0
01/06/2025,0
01/06/2025,0
01/06/2025,1
01/06/2025,1
01/06/2025,0
01/06/2025,0
01/06/2025,0
01/06/2025,1
01/06/2025,0
01/06/2025,0
01/06/2025,1
01/06/2025,1
01/06/2025,0
01/06/2025,1
01/06/2025,2
01/06/2025,4
01/06/2025,0
01/06/2025,0
01/06/2025,0
01/06/2025,2
01/06/2025,1
01/06/2025,0
01/06/2025,2
01/06/2025,0
01/06/2025,1
01/06/2025,1
01/06/2025,0
01/06/2025,1
01/06/2025,0
01/06/2025,0
01/06/2025,1
01/06/2025,0
01/06/2025,0
01/06/2025,0
01/06/2025,1
01/06/2025,1
01/06/2025,1
01/06/2025,0
01/06/2025,1
01/06/2025,0
01/06/2025,0
01/06/2025,0
01/06/2025,1
01/06/2025,1
01/06/2025,0
01/06/2025,1
01/06/2025,0
01/06/2025,0
01/06/2025,1
01/06/2025,1
01/06/2025,2
01/06/2025,0
01/06/2025,0
01/06/2025,0
01/06/2025,0
01/06/2025,2
01/06/2025,1
01/06/2025,1
01/06/2025,1
01/06/2025,0
01/06/2025,0
01/06/2025,1
01/06/2025,0
01/06/2025,0
01/06/2025,0
01/06/2025,1
01/06/2025,0
01/06/2025,1
01/06/2025,1
01/06/2025,0
01/06/2025,1
01/06/2025,0
01/06/2025,2
01/06/2025,1
01/06/2025,1
01/06/2025,0
